,d,K,norm,sigma,n,trial,delta_pos_mean,delta_nonneg_mean
0,2.0,-2.0,0.0,0.0625,4.0,0.0,0.3655979037284851,0.01624879613518715
1,2.0,-2.0,0.0,0.0625,4.0,1.0,0.01976940594613552,0.000878640275914222
2,2.0,-2.0,0.0,0.0625,4.0,2.0,0.04418060556054115,0.00196358235552907
3,2.0,-2.0,0.0,0.0625,4.0,3.0,0.2483585625886917,0.0110381580889225
4,2.0,-2.0,0.0,0.0625,4.0,4.0,0.03981555253267288,0.0017695800634101033
5,2.0,-2.0,0.0,0.0625,4.0,5.0,0.033195704221725464,0.0014753646682947874
6,2.0,-2.0,0.0,0.0625,4.0,6.0,0.14494211971759796,0.006441872101277113
7,2.0,-2.0,0.0,0.0625,4.0,7.0,0.031367555260658264,0.0013941135257482529
8,2.0,-2.0,0.0,0.0625,4.0,8.0,0.016280388459563255,0.0007235727971419692
9,2.0,-2.0,0.0,0.0625,4.0,9.0,0.11997118592262268,0.005332052707672119
10,2.0,-2.0,0.0,0.0625,8.0,0.0,0.08218308538198471,0.020472655072808266
11,2.0,-2.0,0.0,0.0625,8.0,1.0,0.10135439783334732,0.02524842508137226
12,2.0,-2.0,0.0,0.0625,8.0,2.0,0.09422989934682846,0.023473640903830528
13,2.0,-2.0,0.0,0.0625,8.0,3.0,0.11355292052030563,0.02828720584511757
14,2.0,-2.0,0.0,0.0625,8.0,4.0,0.03376547247171402,0.008411328308284283
15,2.0,-2.0,0.0,0.0625,8.0,5.0,0.058530256152153015,0.014580492861568928
16,2.0,-2.0,0.0,0.0625,8.0,6.0,0.1921825110912323,0.04787464812397957
17,2.0,-2.0,0.0,0.0625,8.0,7.0,0.09691654145717621,0.024142911657691002
18,2.0,-2.0,0.0,0.0625,8.0,8.0,0.0849880501627922,0.02117140218615532
19,2.0,-2.0,0.0,0.0625,8.0,9.0,0.06369227170944214,0.01586640253663063
20,2.0,-2.0,0.0,0.0625,16.0,0.0,0.08116558939218521,0.04018579050898552
21,2.0,-2.0,0.0,0.0625,16.0,1.0,0.12404821068048477,0.0613166019320488
22,2.0,-2.0,0.0,0.0625,16.0,2.0,0.06110882759094238,0.03020588308572769
23,2.0,-2.0,0.0,0.0625,16.0,3.0,0.052755165845155716,0.026076698675751686
24,2.0,-2.0,0.0,0.0625,16.0,4.0,0.11277233809232712,0.055742982774972916
25,2.0,-2.0,0.0,0.0625,16.0,5.0,0.047878701239824295,0.023666279390454292
26,2.0,-2.0,0.0,0.0625,16.0,6.0,0.028706306591629982,0.014174031093716621
27,2.0,-2.0,0.0,0.0625,16.0,7.0,0.0935748741030693,0.046253737062215805
28,2.0,-2.0,0.0,0.0625,16.0,8.0,0.07032779604196548,0.03476278856396675
29,2.0,-2.0,0.0,0.0625,16.0,9.0,0.0552559494972229,0.02735769934952259
30,2.0,-2.0,0.0,0.0625,32.0,0.0,0.04872003197669983,0.03396085277199745
31,2.0,-2.0,0.0,0.0625,32.0,1.0,0.0815354511141777,0.05683520808815956
32,2.0,-2.0,0.0,0.0625,32.0,2.0,0.08782809972763062,0.06122157350182533
33,2.0,-2.0,0.0,0.0625,32.0,3.0,0.05762545019388199,0.04016846790909767
34,2.0,-2.0,0.0,0.0625,32.0,4.0,0.08672028034925461,0.06044935807585716
35,2.0,-2.0,0.0,0.0625,32.0,5.0,0.047623876482248306,0.03319676220417023
36,2.0,-2.0,0.0,0.0625,32.0,6.0,0.05311698839068413,0.03702579811215401
37,2.0,-2.0,0.0,0.0625,32.0,7.0,0.07506127655506134,0.05232231691479683
38,2.0,-2.0,0.0,0.0625,32.0,8.0,0.07799126207828522,0.05436469987034798
39,2.0,-2.0,0.0,0.0625,32.0,9.0,0.08228632062673569,0.05736943706870079
