,d,K,norm,sigma,n,trial,loc_median,scale_iqr,skew_quantile,loc_mle,scale_mle,kappa_mle
0,2.0,-2.0,0.0,0.0625,4.0,0.0,0.0,0.076274074614048,-1.0,1.2156738527103413e-08,0.06965367193717792,2.9764897218947564
1,2.0,-2.0,0.0,0.0625,4.0,1.0,0.0,0.4422500431537628,-1.0,1.2470017562184589e-08,0.16293426698582153,2.151263906669933
2,2.0,-2.0,0.0,0.0625,4.0,2.0,0.0,0.07476001046597958,-1.0,4.875233433137833e-08,0.07861142317340188,3.7308526317471973
3,2.0,-2.0,0.0,0.0625,4.0,3.0,0.0,0.13913708925247192,-1.0,1.871707965665004e-08,0.07746834685871648,2.808385650555957
4,2.0,-2.0,0.0,0.0625,4.0,4.0,0.0,0.07390116900205612,-1.0,0.005620628592722443,0.0025218728799445735,98.7657096701758
5,2.0,-2.0,0.0,0.0625,4.0,5.0,0.0,0.0846299547702074,-1.0,8.054523389089182e-10,0.08638240865691191,3.2109521702672534
6,2.0,-2.0,0.0,0.0625,4.0,6.0,0.0,0.14861111715435982,-1.0,5.531132172780458e-10,0.08668270430904812,2.603270211126235
7,2.0,-2.0,0.0,0.0625,4.0,7.0,0.0,0.12805869430303574,-1.0,9.352790262966552e-09,0.08502003988196438,2.994657990175204
8,2.0,-2.0,0.0,0.0625,4.0,8.0,0.0,0.09139228984713554,-1.0,7.302374219409313e-09,0.0747920764423558,2.8793897476182693
9,2.0,-2.0,0.0,0.0625,4.0,9.0,0.0,0.05421771481633186,-1.0,7.542047149769408e-10,0.05129482423358403,3.0013754612339225
10,2.0,-2.0,0.0,0.0625,8.0,0.0,0.0,0.24432457983493805,-1.0,7.983730929573503e-09,0.11922060375778198,1.8598549222876724
11,2.0,-2.0,0.0,0.0625,8.0,1.0,0.0,0.20149556547403336,-1.0,2.5870001006677693e-08,0.10600241837017832,1.7957580568678364
12,2.0,-2.0,0.0,0.0625,8.0,2.0,0.0,0.24586700648069382,-1.0,2.9156078439341575e-08,0.11185823077021309,2.182947389135145
13,2.0,-2.0,0.0,0.0625,8.0,3.0,0.0,0.18788894265890121,-1.0,1.1918866144298805e-08,0.11283526219294387,1.9104344923562764
14,2.0,-2.0,0.0,0.0625,8.0,4.0,0.0,0.3057124838232994,-1.0,4.887574687340148e-09,0.1462978088229262,1.80966765493991
15,2.0,-2.0,0.0,0.0625,8.0,5.0,0.0,0.29359638690948486,-1.0,1.417269611265744e-08,0.1325237168136138,1.7797642857602396
16,2.0,-2.0,0.0,0.0625,8.0,6.0,0.0,0.2744153141975403,-1.0,2.4478252439246508e-09,0.12372196187534255,1.741962261612495
17,2.0,-2.0,0.0,0.0625,8.0,7.0,0.0,0.22161656245589256,-1.0,7.026989026448095e-09,0.11006886277224612,1.767767653373651
18,2.0,-2.0,0.0,0.0625,8.0,8.0,0.0,0.2691490575671196,-1.0,2.5414902771728755e-08,0.1259808502346157,1.8151178857868846
19,2.0,-2.0,0.0,0.0625,8.0,9.0,0.0,0.15198873355984688,-1.0,1.1282961083488147e-08,0.09281259463946293,2.106651574339965
20,2.0,-2.0,0.0,0.0625,16.0,0.0,-0.015289908740669489,0.18527719751000404,-0.834950992932156,9.417910870186702e-09,0.1082360116835272,1.719535970635791
